review_id,listing_id,date,reviewer_name,comments,listing_name,neighbourhood,borough,room_type,nightly_price,review_scores_rating
7483035,1195260,2013-09-22,Dani,"The stay at MarQuerites apartment was the best on our roadtrip! The apartment is on the ground floor of her house and is beautifully decorated, everything looks very new and has a nice touch to it. It was exactly as described and as you see in the pictures. My family and I had a great stay, the beds were very comfortable and the whole place is very clean. The street is quiet. Marquerite and her husband are very nice and relaxed people, we feld very welcome and at home - they gave us great advice about restaurants in the neighborhood - we highly recommend the Jerk Chicken from the Exquisite restaurant at the Church Ave subway station! The neigborhood is very nice, we did not feel unsecure at any time, there is a very relaxed vibe all around. If guests come by car it can be parked directly in front of the house. Busses leave right on Church Ave and take you to Church Ave subway station in 10 minutes. We loved it, highly recommended and we would stay here again!",The Ganham House,East Flatbush,Brooklyn,Entire home/apt,$121.80,4.7
7535050,1461965,2013-09-23,Maria José,The stay at Gya's appartment was perfect. She was so kind and lovely. The house was tidy and clean. I would recommend it without doubt. Thanks Gya!,Private Bedroom WITH Living room and working space,Crown Heights,Brooklyn,Private room,$64.43,4.66
7514155,29628,2013-09-23,Yael,"I highly, HIGHLY recommend Chris's space! Being somewhat of a germaphobe I was not disappointed.  Chris was super friendly and welcoming without being overbearing - the perfect balance of a great host.  The apartment was super clean, spacious and perfectly located on the edge of Fort Greene (an amazing BK neighbourhood).  Thanks so much for your hospitality Chris!!<br/>Yael & Melissa  ","Comfortable, Sunny Room",Clinton Hill,Brooklyn,Private room,$272.50,4.95
8025668,1010785,2013-10-13,Khushbu,"Ahmed is super nice, accommodating and has a lovely place. I would recommend his place to anyone!",Awesome balcony apt W Parking! 1 Block to Subway!,Astoria,Queens,Entire home/apt,$166.47,4.9
8085023,82638,2013-10-15,Luke,"I loved staying in Corey's cool apartment. The location is perfect - loads of bars/restaurants in the area, close to the foot of Williamsburg bridge, so Brooklyn is easy to get to (took me about 20 mins by bike). Hip Soho is just across Houston, and West Village/the High Line are 30 mins walk. The flat itself is also great, and organising keys etc was a breeze. I'd definitely stay here again. ","Charming Artist's Flat, East Village",East Village,Manhattan,Entire home/apt,$179.03,4.8
8117051,118061,2013-10-16,Annaliza & Trevor,We stayed at Robertas for a short and sweet 4 nights. The home is very clean and neat with more than enough room for a couple and up to 4 people. Roberta lives down the stairs but the space is extremely private and quiet at night. She has a fully stocked kitchen for those who want to eat in and left us some fruit and drinks for mornings on the go. Subway is a short 5 minute walk in a beautiful and authentic Bedstuy neighborhood lined with gorgeous Brownstones. Roberta was very easy to communicate with and available all hours of the day! We extended our stay and would have loved to stay here longer but she had other guests arriving. Roberta was kind enough to hold our luggage for the day. Thank you Roberta for being a great host and hope to see you again soon!,Style in Stuyvesant Heights,Bedford-Stuyvesant,Brooklyn,Entire home/apt,$124.35,4.83
8196731,269404,2013-10-20,Rob,I stayed for 8 days at the appartment. The room was big and clean. The appartment is located in a nice area in Astoria with restaurants and bars only a few blocks away. Also within close distance to the Q and N train which is ideal for visiting Manhattan. I would stay here again.,"Master Bedroom Private Bath Avaliable, Astoria",Astoria,Queens,Private room,$101.33,4.71
8212197,16580,2013-10-21,Jack,"Killer place in a great, safe location with a lot of stuff to do all within walking distance. The house was constantly clean and the room was very comfortable. Almost too good to be true! Erin was lovely and would sometimes cook nice vegan meals (mostly kale) and hang out. I would come back. ","Sunny, Modern room in East Village w City Views",East Village,Manhattan,Private room,$194.00,4.82
8273890,26785,2013-10-23,Scott,"Returning to this lovely place is probably the most sincere form of endorsement and, fortunately for me, I booked early enough to be able to. <br/><br/>With so much going for it, it's hard to imagine the Park Slope Green Guest House ever being empty - although everything is so spotless that it looks like you're the first guest!",Park Slope Green Guest House,South Slope,Brooklyn,Entire home/apt,,4.93
8304732,1566326,2013-10-24,Alex,"This great little apartment in Brooklyn is full of character. Bertte opened up her home to us and made us feel welcome. We were encouraged to utilize her kitchen if we wanted. The bed and furnishings were comfortable and the noise level was reasonable considering the location. <br/>The location is within walking distance to the subway and many restaurants, bars and vintage shops in the Williamsburg area.",Studio in South Williamsburg,Williamsburg,Brooklyn,Entire home/apt,,4.8
